실제,Normal,NoNose,"NoNose,NoBody2","NoNose,NoBody2,NoBody1"
Normal,0,137,0,0
NoNose,0,30,0,0
"NoNose,NoBody2",0,51,0,0
"NoNose,NoBody2,NoBody1",0,54,0,0
