_time,label,cycle_id
2023-12-12 09:54:50.745,Normal,5_176
2023-12-12 13:44:01.962,Normal,5_223
2023-12-12 09:44:59.744,Normal,5_174
2023-12-12 05:59:30.446,Normal,5_129
2023-12-12 07:43:56.158,Normal,5_150
2023-12-12 15:19:05.048,Normal,5_241
2023-12-12 09:46:32.661,Normal,5_175
2023-12-12 13:05:54.443,Normal,5_215
2023-12-12 15:09:36.239,Normal,5_240
2023-12-12 07:10:10.241,Normal,5_143
2023-12-12 06:53:47.244,Normal,5_140
2023-12-12 06:47:41.345,Normal,5_139
2023-12-12 11:33:59.546,Normal,5_196
2023-12-12 13:13:02.792,Normal,5_216
2023-12-12 05:02:37.055,Normal,5_118
2023-12-12 06:21:07.247,Normal,5_134
2023-12-12 07:19:17.551,Normal,5_145
2023-12-12 07:54:52.547,Normal,5_152
2023-12-12 05:52:12.310,Normal,5_128
2023-12-12 13:37:56.157,Normal,5_222
2023-12-12 09:40:31.547,Normal,5_174
2023-12-12 08:13:08.064,Normal,5_156
2023-12-11 15:24:45.914,Normal,2_12
2023-12-12 12:12:42.474,Normal,5_204
2023-12-12 10:19:51.036,Normal,5_181
2023-12-12 14:51:53.741,Normal,5_236
2023-12-12 05:55:55.248,Normal,5_129
2023-12-12 14:40:52.645,Normal,5_234
2023-12-12 09:13:34.456,Normal,5_168
2023-12-12 09:08:02.356,Normal,5_167
2023-12-12 15:02:11.158,Normal,5_239
2023-12-12 11:46:40.844,Normal,5_199
2023-12-12 12:21:54.745,Normal,5_206
2023-12-12 12:32:21.640,Normal,5_208
2023-12-12 06:40:15.953,Normal,5_137
2023-12-11 13:14:35.012,Normal,0_3
2023-12-12 07:52:46.848,Normal,5_152
2023-12-12 14:15:01.349,Normal,5_229
2023-12-12 13:54:11.656,Normal,5_225
2023-12-11 15:04:03.154,Normal,2_8
2023-12-12 12:44:16.648,Normal,5_211
2023-12-11 14:35:21.632,Normal,2_2
2023-12-12 09:24:39.440,Normal,5_170
2023-12-12 15:31:59.352,Normal,5_244
2023-12-12 13:30:39.337,Normal,5_220
2023-12-12 05:28:40.240,Normal,5_123
2023-12-12 13:27:38.545,Normal,5_219
2023-12-12 15:50:09.447,Normal,5_248
2023-12-12 14:09:58.445,Normal,5_228
2023-12-12 14:09:40.338,Normal,5_228
2023-12-12 11:49:28.560,Normal,5_200
2023-12-12 06:21:01.676,Normal,5_134
2023-12-12 12:29:05.471,Normal,5_208
2023-12-11 14:11:01.444,Normal,1_5
2023-12-12 07:25:14.653,Normal,5_146
2023-12-12 15:21:22.762,Normal,5_242
2023-12-12 08:29:20.146,Normal,5_159
2023-12-11 14:18:40.056,Normal,1_6
2023-12-12 05:49:48.862,Normal,5_127
2023-12-12 10:30:11.748,Normal,5_184
2023-12-12 10:28:28.248,Normal,5_183
2023-12-12 06:00:59.150,Normal,5_130
2023-12-12 10:09:12.638,Normal,5_179
2023-12-12 12:43:47.143,Normal,5_211
2023-12-12 12:18:38.847,Normal,5_206
2023-12-12 13:02:10.355,Normal,5_214
2023-12-12 06:57:08.475,Normal,5_141
2023-12-12 07:18:09.047,Normal,5_145
2023-12-12 09:14:25.357,Normal,5_168
2023-12-12 11:14:26.337,Normal,5_193
2023-12-12 07:01:30.455,Normal,5_142
2023-12-12 10:03:14.842,Normal,5_178
2023-12-12 04:58:20.357,Normal,5_117
2023-12-12 07:42:36.256,Normal,5_150
2023-12-12 10:56:50.841,Normal,5_189
2023-12-12 14:33:58.848,Normal,5_233
2023-12-12 06:46:02.643,Normal,5_139
2023-12-11 15:21:42.244,Normal,2_11
2023-12-12 09:39:53.264,Normal,5_173
2023-12-12 09:43:28.149,Normal,5_174
2023-12-12 10:48:16.952,Normal,5_187
2023-12-12 08:38:06.639,Normal,5_161
2023-12-12 13:46:54.142,Normal,5_223
2023-12-12 04:54:12.756,Normal,5_116
2023-12-11 14:00:57.252,Normal,1_3
2023-12-11 15:13:47.245,Normal,2_10
2023-12-12 10:54:35.340,Normal,5_188
2023-12-12 06:40:14.344,Normal,5_137
2023-12-12 12:44:59.140,Normal,5_211
2023-12-11 14:01:24.032,Normal,1_3
