실제,Normal,NoNose,"NoNose,NoBody2","NoNose,NoBody2,NoBody1"
Normal,137,0,1,0
NoNose,0,30,0,0
"NoNose,NoBody2",1,2,47,1
"NoNose,NoBody2,NoBody1",0,0,0,54
